publisher,grade,unit,word,part_of_speech,translation,sentence_example
南一,七下,lesson 6,straight,adv. ,直地,"Go straight along this street, and you can see the school."
南一,七下,lesson 6,turn,v. ,轉向,Please turn right at the next corner.
南一,七下,lesson 6,left,adv. ,左邊,Turn left and you can see a fish shop.
南一,七下,lesson 6,along,prep. ,沿著,You can see a lot of flowers along the river.
南一,七下,lesson 6,road（=Rd.）,n. ,路,The famous restaurant is on the very busy road.
南一,七下,lesson 6,block,n. ,街區,My home is two blocks away from the park.
南一,七下,lesson 6,station,n. ,車站,There is a train station near my house.
南一,七下,lesson 6,idea,n. ,想法；主意,That’s a good idea.
南一,七下,lesson 6,minute,n. ,分鐘,There are sixty minutes in an hour.
南一,七下,lesson 6,wait,v. ,等一下；等待,I am waiting for the bus.
南一,七下,lesson 6,wrong,adj. ,錯誤的,Sorry. You have the wrong number.
南一,七下,lesson 6,fair,n. ,園遊會，展覽,We are having a good time at the school fair.
南一,七下,lesson 6,corner,n. ,街角,Go straight and turn left at the first corner.
南一,七下,lesson 6,right,n.  / adv. ,右邊,The school is on your right. Turn right on Moon Street.
南一,七下,lesson 6,bank,n. ,銀行,There is a bank on Rainbow Street.
南一,七下,lesson 6,movie theater,n. ,電影院,The new movie theater is big and beautiful.
南一,七下,lesson 6,cross,v. ,跨越,Don't cross the street. The car is coming fast.
南一,七下,lesson 6,across from,phr. ,在……對面,The restaurant is across from the park.
南一,七下,lesson 6,in back of,phr. ,在……後面,Sara sits in back of me.
南一,七下,lesson 6,bakery,n. ,麵包店,I usually go to the bakery after school.
南一,七下,lesson 6,library,n. ,圖書館,Please don't run in the library.
南一,七下,lesson 6,hospital,n. ,醫院,My brother works in the hospital.
南一,七下,lesson 6,foot（複數為 feet）,n. ,腳,Do you go to school by bus or on foot?
南一,七下,lesson 6,metro,n. ,地鐵；捷運,Let’s go to the zoo by metro.
南一,七下,lesson 6,boat,n. ,船,We go to Green Island by boat.
南一,七下,lesson 6,ride,v. ,騎；乘坐,Can you ride a bike?
南一,七下,lesson 6,horse,n. ,馬,Look! Those kids are feeding horses.
南一,七下,lesson 6,hike,v. ,長途步行,People often go hiking on sunny days.
南一,七下,lesson 6,may,aux. ,也許,It is cloudy. It may rain in the afternoon.
南一,七下,lesson 6,dangerous,adj. ,危險的,Don't play with fire. It is dangerous.
南一,七下,lesson 6,will,n. ,決心,"Where there’s a will, there’s a way."
南一,七下,lesson 6,nothing,pron. ,沒有（東西）,There is nothing in the bag.
南一,七下,lesson 6,sleigh,n. ,雪橇,Do you like to ride on sleighs?
南一,七下,lesson 6,mate,n. ,夥伴,Teresa is my best mate. We always help each other.
南一,七下,lesson 6,weekday,n. ,平日,"On weekdays, I usually go to bed at  o’clock."
南一,七下,lesson 6,train,n. ,火車,"There are many ways to school. By metro, by train, or by boat."
南一,七下,lesson 6,stand in ... way,phr. ,阻礙……,Nothing can stand in their way.
南一,七下,lesson 6,I see.,Idiom,我懂了。,
南一,八上,lesson 1,yesterday,adv.,昨天,I walked to school yesterday.
南一,八上,lesson 1,study,v.,研讀,Mary studies English every night.
南一,八上,lesson 1,jog,v.,慢跑,John is jogging in the park.
南一,八上,lesson 1,watch,v.,觀看,Mike usually watches TV on Mondays.
南一,八上,lesson 1,last,adj.,前一個的,They moved to Taipei last July.
南一,八上,lesson 1,death,n.,死亡,Death is not a sad thing for me.
南一,八上,lesson 1,a few,adj.,一些,There are a few students in the classroom.
南一,八上,lesson 1,ago,adv.,以前,I visited my friends a few months ago.
南一,八上,lesson 1,parents,n.,父母親,My parents are always there for me.
南一,八上,lesson 1,were（are 的過去式）,v.,是,The clothes in the bathroom were very dirty.
南一,八上,lesson 1,was（am 和 is 的過去式）,v.,是,John was a farmer two years ago.
南一,八上,lesson 1,must,aux.,一定；必須,Cindy's grandma passed away yesterday. She must be really sad.
南一,八上,lesson 1,pass away,phr.,過世,His grandpa passed away last year.
南一,八上,lesson 1,together,adv.,一起,Let's go to the party together.
南一,八上,lesson 1,sweet,adj.,貼心的；甜的,Wendy is a sweet girl.
南一,八上,lesson 1,remind ... of,phr.,想起,You remind me of your father.
南一,八上,lesson 1,memory,n.,回憶；記憶,Our last trip was the best memory.
南一,八上,lesson 1,look after,phr.,照顧,Jerry looked after his sister last weekend.
南一,八上,lesson 1,after all,phr.,畢竟,"After all, I have so many happy memories with him."
南一,八上,lesson 1,dress up,phr.,裝扮,Kate is dressing up for the party.
南一,八上,lesson 1,music,n.,音樂,Henry loves music.
南一,八上,lesson 1,circle,n.,圓圈,Please draw a circle.
南一,八上,lesson 1,plant,v.,種植,We planted the apple trees last spring.
南一,八上,lesson 1,flower,n.,花,There are many colorful flowers in the garden.
南一,八上,lesson 1,candle,n.,蠟燭,Do you need some candles for the party?
南一,八上,lesson 1,costume,n.,化裝服,The girl in the bee costume is my sister.
南一,八上,lesson 1,tomb,n.,墳墓,Mexicans usually sweep tombs and cook a big meal during the Day of the Dead.
南一,八上,lesson 1,place,v.,放置,People place candles and flowers around the tomb.
南一,八上,lesson 1,remember,v.,記得,I always remember his name.
南一,八上,lesson 1,dead,adj.,死亡的,Watch out! There is a dead bird on the road.
南一,八上,lesson 1,relative,n.,親戚；親屬,George often visits his relatives.
南一,八上,lesson 1,ghost,n.,鬼,I like ghost movies.
南一,八上,lesson 1,later,adv.,之後；晚點,See you later.
南一,八上,lesson 1,candy,n.,糖果,Let’s get a box of candy.
南一,八上,lesson 1,meal,n.,餐,You can enjoy some special meals in this restaurant.
南一,八上,lesson 1,share,v.,分享,Can you share your toys with me?
南一,八上,lesson 1,story,n.,故事,What's your favorite story?
南一,八上,lesson 1,sweep,v.,清掃,Dad is sweeping the living room.
南一,八上,lesson 1,lively,adj.,充滿活力的,Paul is a lively boy.
南一,八上,lesson 1,touching,adj.,感人的,I like this movie. It's really touching.
南一,八上,lesson 1,fear,n.,害怕,She showed no fear in the face of danger.
南一,八上,lesson 2,math,n.,數學,I had a math class yesterday.
南一,八上,lesson 2,test,n.,考試；測驗,Do we have any tests this morning?
南一,八上,lesson 2,guess,v.,猜；猜測,Guess what? Irene moved to the USA.
南一,八上,lesson 2,well,int.,嗯；那麼 (發語詞),"A: What happened? B: Well, it's a long story."
南一,八上,lesson 2,get married（過去式為 got married）,phr.,結婚 ,Julie got married at the age of twenty.
南一,八上,lesson 2,why,adv.,為什麼,Why are you late for school?
南一,八上,lesson 2,sell（過去式為 sold）,v.,賣,The breakfast shop doesn’t sell milk.
